\N,ETNU
\N,ETNW
\N,ETOI
\N,ETOR
\N,ETOU
\N,ETSA
\N,ETSB
\N,ETSE
FEL,ETSF
\N,ETSH
IGS,ETSI
\N,ETSL
\N,ETSN
GUT,ETUO
ALJ,FAAB
AGZ,FAAG
\N,FABB
BIY,FABE
BFN,FABL
\N,FABM
\N,FABO
CPT,FACT
\N,FACV
DUR,FALE
ELS,FAEL
\N,FAEO
\N,FAFB
GCJ,FAGC
GRJ,FAGG
\N,FAGR
\N,FAGT
\N,FAGY
\N,FAHA
\N,FAHR
HDS,FAHS
\N,FAHV
JNB,FAJS
\N,FAKD
KIM,FAKM
\N,FAKR
\N,FAKS
KMH,FAKU
KLZ,FAKZ
HLA,FALA
\N,FALI
\N,FALM
\N,FALW
LAY,FALY
\N,FAMB
MGH,FAMG
\N,FAMI
\N,FAMJ
\N,FAMN
MEZ,FAMS
\N,FAMU
NCS,FANC
\N,FANY
\N,FAOB
DUH,FAOH
PLZ,FAPE
\N,FAPG
PHW,FAPH
\N,FAPI
\N,FAPJ
PZB,FAPM
NTY,FAPN
PTG,FAPP
\N,FAPS
\N,FAPY
UTW,FAQT
RCB,FARB
\N,FARG
ROD,FARS
SBU,FASB
\N,FASC
\N,FASD
\N,FASI
\N,FASK
SIS,FASS
\N,FASX
SZK,FASZ
\N,FATF
\N,FATP
\N,FATT
LTA,FATZ
ULD,FAUL
UTN,FAUP
UTT,FAUT
VRU,FAVB
VIR,FAVG
\N,FAVR
\N,FAVV
PRY,FAWB
\N,FAWI
\N,FAWK
WEL,FAWM
\N,FAYP
\N,FAZR
FRW,FBFT
JWA,FBJW
BBK,FBKE
MUB,FBMN
GBE,FBSK
PKW,FBSP
BZV,FCBB
FTX,FCOO
OUE,FCOU
PNR,FCPP
MTS,FDMS
BGF,FEFF
BBT,FEFT
BSG,FGBT
SSG,FGSL
ASI,FHAW
MRU,FIMP
RRG,FIMR
\N,FJDG
TKC,FKKC
DLA,FKKD
MVR,FKKL
FOM,FKKM
NGE,FKKN
GOU,FKKR
BFX,FKKU
BPC,FKKV
YAO,FKKY
\N,FLKE
LVI,FLLI
LUN,FLLS
MFU,FLMF
\N,FLMG
NLA,FLND
KIW,FLSO
HAH,FMCH
NWA,FMCI
AJN,FMCV
DZA,FMCZ
RUN,FMEE
ZSE,FMEP
TNR,FMMI
ZVA,FMMN
SMS,FMMS
TMM,FMMT
MOQ,FMMV
DIE,FMNA
WMR,FMNC
ZWA,FMND
AMB,FMNE
ANM,FMNH
HVA,FMNL
MJN,FMNM
NOS,FMNN
BPY,FMNQ
WMN,FMNR
SVB,FMNS
VOH,FMNV
WAI,FMNW
IVA,FMNZ
FTU,FMSD
WFI,FMSF
RVA,FMSG
WVK,FMSK
MNJ,FMSM
MXM,FMSR
TLE,FMST
SSY,FNBC
BUG,FNBG
CAB,FNCA
NOV,FNHU
SVP,FNKU
\N,FNLB
LAD,FNLU
MEG,FNMA
SPP,FNME
GXG,FNNG
PBN,FNPA
VHC,FNSA
SZA,FNSO
SDD,FNUB
LUO,FNUE
UGO,FNUG
XGN,FNXA
OYE,FOGO
OKN,FOGQ
LBQ,FOGR
BMM,FOOB
POG,FOOG
OMB,FOOH
MKU,FOOK
LBV,FOOL
MVB,FOON
PCP,FPPR
TMS,FPST
BEW,FQBR
INH,FQIN
VXC,FQLC
\N,FQLU
MPM,FQMA
